Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration
Dr. Tariqul Islam Chowdhury,"MBBS,DLO,FCPS (In Course)",Otolaryngologists (ENT),19,Marine Healthcare Hospital and Diagnostic Centre, Dhaka-1229,"Adenoiditis,Allergies,Chronic Rhinitis,Conductive Hearing Loss,Deviated septum,Head and Neck Tumor,Laryngitis,Meniere's disease,Otitis Media (Middle Ear Infection),Otosclerosis,Sinusitis,Surgery for Snoring,Swimmer's ear,Tinnitus (Ringing in the Ears),Tonsillitis Treatment,Cholesteatoma"
Dr. Sazzad Zayed Chowdhury,"MBBS (Dhaka),MD (Haematology),CCD (BIRDEM)",Hematologist,20,Marine Healthcare Hospital and Diagnostic Centre, Dhaka-1229,"Anemia,Blood Clots,Blood Transfusion,Bone marrow failure syndromes,Coagulation Disorders,Hemochromatosis (Excess Iron),Hemoglobinopathies (e.g., HbS, HbC),Hemolytic anemia,Hemophilia,Iron-deficiency anemia,Leukemia,Lymphoma,Plasma cell disorders,Sickle Cell Anemia,Thalassemia,Eosinophilic Disorders"
Assoc. Prof. Dr. Md. Mahbubur Rahman,"MBBS,DCH (BSMMU),MSc (Nutrition) DU",Pediatrician,28,Marine Healthcare Hospital and Diagnostic Centre, Dhaka-1229,"Allergy Testing,Asthma,Auto-immune Diseases in Children,Child Nutrition,Child Trauma & Injuries,Health Checkup (Pediatric),Infectious Diseases,Malnutrition,New Born Care,Pediatric Emergencies,Pediatric Intensive Care Unit (PICU),Pneumonia Treatment,Vaccination/ Immunization,Viral Fever Treatment,Growth & Development"
Dr. Rizwan Jamil,"MBBS,(FMC) BCS (Health) MS (Orthopedic Surgery)",Orthopedic Surgeon,14,Islami Bank Central Hospital | Kakrail, Dhaka-1000,"Dentofacial Orthopedics,Functional Orthopedics,General Orthopedic Clinic,Jaw Orthopedics,Lingual Orthodontics,Orthodontics,Orthographic Surgery,Orthopaedic Diseases,Orthopedic in Pitampura,Orthopedic physical therapy,Orthopedic Physiotherapy,Orthopedic surgeon in pitampura,Orthopedic Surgery,Orthotic Splints,Paediatrics - Ortho"
Dr. Moshrefa Newaz,"MBBS,MD (Paediatrics)",Pediatrician,18,Islami Bank Central Hospital | Kakrail, Dhaka-1000,"Abdominoperineal Resection (Pediatric),Advanced Pediatric Life Support (APLS),Arthritis in Children,Asthma In Children,Auto-immune Diseases in Children,Behaviour problem in children,Bone Marrow Transplant(Pediatrics),Exchange Transfusion (Pediatric),Functional Orthopedics,General Pediatrics,Health Checkup (Pediatric),Acidity in Children"
Dr. Israt Jahan,"MBBS,FCPS (Medicine),CCD (BIRDEM)",Medicine Specialist,15,Islami Bank Central Hospital | Kakrail, Dhaka-1000,"Adolescent Medicine,Aesthetic Medicine,Cardiac Medicine,Critical Care Medicine,Family Medicine,Fetal Medicine,Fetomaternal Medicine,Fever,General Medicine,Geriatric Medicine,Immediate Dentures,Kidney Medicine,Maternal Fetal Medicine,Fever Treatment"
Dr. Forhad Uddin Hasan Chowdhury,"MBBS,FCPS(Medicine),MSc(Tropical & Infectious Diseases)",Medicine Specialist,18,Islami Bank Central Hospital | Kakrail, Dhaka-1000,"Adolescent Medicine,Aesthetic Medicine,Cardiac Medicine,Critical Care Medicine,Family Medicine,Fetal Medicine,Fetomaternal Medicine,General Medicine,Geriatric Medicine,Immediate Dentures,Kidney Medicine,Maternal Fetal Medicine,Mediastinal tumor,Mediastinoscopy"
Asst. Prof. Dr. Mohammad Jahangir Alam,"MBBS,MD(Endocrinology & Metabolism),BSMMU",Endocrinologist,17,Islami Bank Central Hospital | Kakrail, Dhaka-1000,"Adrenal Disorders,Adrenal Gland Disorders,Hyperlipidemia,Hyperthyroidism,Hypothyroidism,Obesity,Osteoporosis Treatment,Parathyroid diseases,Thyroid Disorder Treatment,Thyroid Disorders in Pregnancy,Thyroid Swelling,Pituitary Stalk Lesions"
Dr. Sakib Aman,"MBBS,MCPS,FCPS (Medicine)",Medicine Specialist,19,Islami Bank Central Hospital | Kakrail, Dhaka-1000,"Adolescent Medicine,Aesthetic Medicine,Cardiac Medicine,Cognitive remediation therapy (CRT),Critical Care Medicine,Family Medicine,Fetal Medicine,Fetomaternal Medicine,General Medicine,Geriatric Medicine,Immediate Dentures,Kidney Medicine,Maternal Fetal Medicine"
Dr. Md. Masudul Hasan,"MBBS,MD(Internal Medicine),FCPS(Medicine),FCPS(Rheumatology)",Medicine Specialist,17,Islami Bank Central Hospital | Kakrail, Dhaka-1000,"Adolescent Medicine,Aesthetic Medicine,Cardiac Medicine,Cognitive remediation therapy (CRT),Critical Care Medicine,Family Medicine,Fetal Medicine,General Medicine,Geriatric Medicine,Immediate Dentures,Kidney Medicine,Lung & Mediastinal Tumors,Mediastinal tumor"
