Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration
Assoc. Prof. Dr. Md. Habibur Rahman,"MBBS,DDV (Skin & VD),MPH",Dermatologist,22,Ibn Sina Diagnostic & Consultation Center | Mirpur, Dhaka-1216,"Acne,Acne Problems,Acne Problems,Acne/ Pimple Scars Treatment,Allergic conjunctivitis,Allergy Skin Prick Test,Bacterial Skin Infection Treatment,Cellulitis & Skin Abscesses,Chronic Skin Allergy,Dimple Creation,Disorder of Sexual Differentiation,Dull Skin,Nail Diseases Treatment,Pimples Treatment,Sun Spots,Lip Reduction"
Assoc. Prof. Dr. Syed Shawket Ahmed,"MBBS,DTM & H (Bangkok),M.Sc (London)",Dermatologist,22,Ibn Sina Diagnostic & Consultation Center | Mirpur, Dhaka-1216,"Acne,Acne Problems,Allergic conjunctivitis,Allergic Enteropathy,Allergic Rhinitis,Allergy Skin Prick Test,Bacterial Skin Infection Treatment,Cellulitis & Skin Abscesses,Chronic Skin Allergy,Dull Skin,Nail Diseases Treatment,Pimples Treatment,Sun Burn Treatment,Dimple Creation"
Dr. Saima Ahmed Remi,"MBBS (DMC),BCS (Health),MCPS (SKIN & VD),DDV (BSMMU)",Dermatologist,14,Ibn Sina Diagnostic & Consultation Center | Mirpur, Dhaka-1216,"Aesthetic Dermatology,Allergic conjunctivitis,Allergic Enteropathy,Allergic Rhinitis,Allergy & Immunotheraphy,Allergy Skin Prick Test,Bacterial Skin Infection Treatment,Chronic Skin Allergy,Dull Skin,Hair Care,Hair Disease,Laser Hair Removal - Face,Lip Reduction,Pimples Treatment,Acne"
Dr. Md. Shah Alam,"MBBS,BCS (Health),MD (Dermatology)",Dermatologist,15,Ibn Sina Diagnostic & Consultation Center | Mirpur, Dhaka-1216,"Allergy Skin Prick Test,Bacterial Skin Infection Treatment,Cellulitis & Skin Abscesses,Chronic Skin Allergy,Dull Skin,Dull Skin Treatment,Hair Care,Hair Disease,Hair Loss Treatment,Hair Patch,Lip Reduction,Nail Diseases Treatment,Nose Fillers,Pimples Treatment,Dimple Creation"
Dr. Muhammad Shamsul Arefin,"MBBS,BCS,DA,MD (Physical Medicine)",Pain Management Specialist,15,Ibn Sina Diagnostic & Consultation Center | Mirpur, Dhaka-1216,"Chronic Back Pain,Chronic Pelvic Pain Syndrome,Complex Regional Pain Syndrome (CRPS),Foot Care,Hand Pain Treatment,Joint Mobilization,Knee care,Migraines & Headaches,Post-Surgical Pain,Spinal Therapy,Trigeminal neuralgia"
Dr. Al-Amin,"MBBS,BCS,MCPS (Medicine),MD (Cardiology)",Cardiologist,15,Ibn Sina Diagnostic & Consultation Center | Mirpur, Dhaka-1216,"Bacterial Endocarditis,Cardiac Ablation,Cardiac Anesthesia,Cardiac Catheterization,Cardiac Disease,Cardiac Invasive Procedures,Cardiac Medicine,Cardiac MRI,Cardiac Pacing,Cardiac Rehabilitation,Cardiac Rehabilitation,Cardiac Transplant,Cardiac Tumor Resection,Cardic TMT, ECG, ECHO,Cardio Thoracic Surgery,Cardiogenic Shock"
Asst. Prof. Dr. Bijoya Dey Happy,"MBBS,MD (Physical Medicine)",Physical Medicine,20,Ibn Sina Diagnostic & Consultation Center | Mirpur, Dhaka-1216,"Aesthetic Medicine,Cardiac Medicine,Critical Care Medicine,Family Medicine,Fetal Medicine,Fetomaternal Medicine,General Medicine,Geriatric Medicine,Immediate Dentures,Kidney Medicine,Lung & Mediastinal Tumors,Mediastinal tumor,Mediastinoscopy,Medical Advisor,Medical Emergencies,Medical Oncology,Medical Peels,Medical termination of pregnancy,Medical Vitiligo Treatment"
Prof. Dr. Md. Ruhul Amin,"MBBS,BCS (Health),FCPS (Physical Medicine),FIPM (India),Fellow (TOBI, USA)",Physical Medicine,22,Ibn Sina Diagnostic & Consultation Center | Mirpur, Dhaka-1216,"Adolescent Medicine,Aesthetic Medicine,Cardiac Medicine,Cognitive remediation therapy (CRT),Critical Care Medicine,Family Medicine,Fetal Medicine,Fetomaternal Medicine,General Medicine,Geriatric Medicine,Immediate Dentures,Kidney Medicine,Lung & Mediastinal Tumors,Maternal Fetal Medicine,Medical Emergencies,Medical Peels,Mediastinal tumor"
Asst. Prof. Dr. Shaila Parveen,"MBBS,MS (Surgical Oncology)","Oncologist
Surgeon",15,Ibn Sina D. Lab & Consultation Center | Doyagonj, Dhaka-1204,"Adrenal Cancer,Bladder Cancer,Blood Cancer Specialist,Breast oncologist,Breast Oncology,Bronchiolitis,Cancer - Kidney,Haemato Oncology,Hematological Oncology,Laparoscopic Oncology,Medical Oncology,Neuro-oncology,Paeditric Oncology,Cancer Pain"
Dr. Md. Aminul Haque Pathan,"MBBS,MS (Ortho)",Orthopedic Surgeon,15,Ibn Sina Diagnostic & Consultation Center | Mirpur, Dhaka-1216,"Dentofacial Orthopedics,Functional Orthopedics,General Orthopedic Clinic,Jaw Orthopedics,Lingual Orthodontics,Orthographic Surgery,Orthopaedic Diseases,Orthopedic in Pitampura,Orthopedic physical therapy,Orthopedic Physiotherapy,Orthopedic Surgery,Orthotic Splints,Paediatric Orthopedic Surgeon,Paediatrics - Ortho,Orthodontics"
