Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration
Prof. Dr. Md. Manir Hossain Khan,"MBBS (DMC),MCPS,FCPS,MRCS (UK),FACRSI,FMAS","Colorectal & Laparoscopic Surgeon
General Surgeon
Colorectal Surgeon",23,Uttara Crescent Hospital & Diagnostic Center, Dhaka-1230,"Abdominal surgery,Adenoid / Tonsil Surgery,All Gynae Surgery,Anal Fissure Surgery,Anterior Segment Surgery,Anti Reflux (Gerd) Surgery,Aortic Aneurysm Surgery / Endovascular Repair,Aortic Anuerysm Surgery / Endovascular Repair,Arthoscopic Surgery,Brain Surgery,Brain Tumor Surgery,Colorectal & Hepatobiliary Surgery,Complications of gall bladder surgery,Coronary Angioplasty / Bypass Surgery,Advance Laparoscopic Surgeries"
Dr. Badrul Alam,"MBBS,M-Phil",Family Medicine Specialist,17,Uttara Crescent Hospital & Diagnostic Center, Dhaka-1230,"Adolescent Medicine,Aesthetic Medicine,Cardiac Medicine,Cognitive remediation therapy (CRT),Critical Care Medicine,Dengue Fever,Dengue Fever Treatment,Family Medicine,Fetal Medicine,Fetomaternal Medicine,Fever Treatment,General Medicine,Geriatric Medicine,Viral Fever,Kidney Medicine"
Prof. Dr. Firoz Ahmed Khan,"MBBS,FCPS (ENT)",Otolaryngologists (ENT),25,Uttara Crescent Hospital & Diagnostic Center, Dhaka-1230,"Adenoid / Tonsil Surgery,Congenital Ear Problem Treatment,Diagnostic Endoscopy of Ear-Nose-Throat,Diagnostic Nasal Endoscopy,Diagnostic nasal, otological & laryngeal endoscopy,Ear Drum Repair,Ear Micro Surgery,Ear, Nose & Throat Evaluation,Fracture Nasal Bone Correction,Nasal and Sinus Allergy Care,Tonsillitis Treatment,Ear Infections"
Dr. Harun Ar Rashid Yamin,"MBBS,FCPS (ENT),FACS (USA),Diploma in Lateral Skull Base (India)",Otolaryngologists (ENT),20,Uttara Crescent Hospital & Diagnostic Center, Dhaka-1230,"Adenoid / Tonsil Surgery,Conductive Hearing Loss,Congenital Ear Problem Treatment,Diagnostic Endoscopy of Ear-Nose-Throat,Diagnostic Nasal Endoscopy,Diagnostic nasal, otological & laryngeal endoscopy,Ear Drum Repair,Ear Micro Surgery,Ear Wash,Nasal and Sinus Allergy Care,Tonsillitis Treatment,Ear, Nose & Throat Evaluation"
Dr. Farhana Sharmin Jhumur,"MBBS (COMC),PGT (Skin & VD),PGDCC (India),Diploma in Clinical Cosmetic Dermatology (India),Diploma in Clinical Nutrition (India)",Dermatologist,16,Uttara Crescent Hospital & Diagnostic Center, Dhaka-1230,"Allergy Skin Prick Test,Bacterial Skin Infection Treatment,Cellulitis & Skin Abscesses,Chronic Skin Allergy,Dull Skin,Dull Skin Treatment,Fractional CO2 Laser Skin Resurfacing,Fractional Skin Rejuvenation,Hair Care,Hardening of the skin,Sun Burn Treatment,Sun Spots, Age Spots, And Other Pigmented Lesions,Hair Disease"
Prof. Dr. Md. Yeakub Ali,"MBBS (DMC),DDV (DU),MCTS (Seoul),MACP (USA),FRCP",Dermatologist,23,Uttara Crescent Hospital & Diagnostic Center, Dhaka-1230,"Acne,Allergic Bronchopulmonary Aspergillosis,Allergic conjunctivitis,Allergic Rhinitis,Allergies,Allergy & Immunotheraphy,Allergy Skin Prick Test,Bacterial Skin Infection Treatment,Cellulitis & Skin Abscesses,Chronic Skin Allergy,Dull Skin,Dull Skin Treatment,Growth & Development,Growth & Sexual Maturation in Children,Acne Scar Treatment"
Dr. Nahid Salam,"MBBS (Dhaka),DDV (Dhaka)",Dermatologist,19,Uttara Crescent Hospital & Diagnostic Center, Dhaka-1230,"Allergic Rhinitis,Allergies,Allergy Skin Prick Test,Cellulitis & Skin Abscesses,Chronic Skin Allergy,Disorder of Sexual Differentiation,Dull Skin,Dull Skin Treatment,Glutathione - Skin Whitening,Growth & Sexual Maturation in Children,Pimples Treatment,Sexual Diseases,Acne"
Dr. Md. Abul Kalam,"MBBS,FCPS,MCPS,DDV (PG)",Dermatologist,20,Uttara Crescent Hospital & Diagnostic Center, Dhaka-1230,"Allergy Skin Prick Test,Bacterial Skin Infection Treatment,Cellulitis & Skin Abscesses,Chronic Skin Allergy,Disorder of Sexual Differentiation,Dull Skin,Dull Skin Treatment,Fractional CO2 Laser Skin Resurfacing,Fractional Skin Rejuvenation,Hair Care,Hair Disease,Hair Loss Treatment,Hair Multiplication,Nose Fillers,Nail Surgery"
Dr. Farzana Afroze,"MBBS,MCPS,FCPS (Skin & VD),Fellow in LASER & Cosmetic Dermato surgery (India)",Dermatologist,20,Uttara Crescent Hospital & Diagnostic Center, Dhaka-1230,"Acell Matrix Hair Transplantation,Aesthetic Dermatology,Allergy Skin Prick Test,Anxiety Disorder Counselling,Cellulitis & Skin Abscesses,Chronic Skin Allergy,Dull Skin,Dull Skin Treatment,Hair Disease,Hardening of the skin,Sun Burn Treatment,Sun Spots, Age Spots, And Other Pigmented Lesions,Nose Fillers"
Dr. Md. Shah Zaman,"MBBS,MD,DDV,MCPS,FCPS (Skin & VD),Fellow of Skin Laser (Thailand)",Dermatologist,18,Uttara Crescent Hospital & Diagnostic Center, Dhaka-1230,"Acne,Acne Scars,Allergic Bronchopulmonary Aspergillosis,Allergic conjunctivitis,Allergic Rhinitis,Allergy & Immunotheraphy,Chronic Skin Allergy,Dimple Creation,Dull Skin,Dull Skin Treatment,Growth & Sexual Maturation in Children,Pimples Treatment,Smile Design,Sexual Dysfunction"
