Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration
Asst. Prof. Dr. Nurun Nahar Mohua,"MBBS,D-CARD,PHD",Cardiologist,16,Aalok Healthcare Ltd. | Mirpur 10, Dhaka-1216,"Bacterial Endocarditis,Cardiac Ablation,Cardiac Anesthesia,Cardiac Catheterization,Cardiac Disease,Cardiac Invasive Procedures,Cardiac Medicine,Cardiac MRI,Cardiac Rehabilitation,Cardiac Transplant,Cardiac Tumor Resection,Congenital Heart Disease,Congenital Heart Surgery,Healthy Heart Diet"
Dr. Rezaul Alam Khan,"MBBS,CCD,MD (Medicine)",Medicine Specialist,23,Aalok Healthcare Ltd. | Mirpur 10, Dhaka-1216,"Adolescent Medicine,Aesthetic Medicine,Cardiac Medicine,Critical Care Medicine,Family Medicine,Fetal Medicine,Fetomaternal Medicine,General Medicine,Geriatric Medicine,Immediate Dentures,Kidney Medicine,Lung & Mediastinal Tumors,Medical Advisor,Neonatal Medicine"
Dr. Ummy Salma Munni,"MSc,MPhil,PhD (Nutrition & Food Science),INFS (DU)",Nutritionist,14,BRB Hospitals Limited, Dhaka-1205,"Diabetes Management,Diet Management,Food Allergies,Food Sensitivity Management,Gastroparesis,Geriatric Nutrition,Healthy Heart Diet,Mindful Eating,Naonatal Nutrition,Nutritional Assessment,Nutritional Support for Pregnancy,PCOD/ PCOS Diet Counselling,Sports Nutrition,Weight Loss Diet Counseling,Nutritional Supplements"
Dr. Mostafa Kamal Rouf,"MBBS,BCS (Health),FCPS (Medicine),PGT (Neurology)",Medicine Specialist,23,Aalok Healthcare Ltd. | Mirpur 10, Dhaka-1216,"Aesthetic Medicine,Alzheimer's Disease,Arthritis Problem,General Medicine,Geriatric Medicine,Heart Diseases,Infectious Diseases,Influenza (Common Cold),Neonatal Medicine,Parkinson's disease,Pediatric Medicine,Trauma and wound care,Trouble Sleeping,Vaccination / Immunization,Adolescent Medicine"
Asst. Prof. Dr. Akhlak Ahmed,"MBBS (Dhaka),BCS (Health) FCPS (Medicine),MACP (USA)",Medicine Specialist,19,Aalok Healthcare Ltd. | Mirpur 10, Dhaka-1216,"Adolescent Medicine,Aesthetic Medicine,Cardiac Medicine,Critical Care Medicine,Family Medicine,Fetal Medicine,Fetomaternal Medicine,General Medicine,Geriatric Medicine,Immediate Dentures,Kidney Medicine,Maternal Fetal Medicine"
Prof. Dr. AKM Fazlul Haque,"MBBS,MPH,MD (Internal Medicine),FACP (USA)",Internal Medicine,27,Aalok Healthcare Ltd. | Mirpur 10, Dhaka-1216,"Abnormal liver biochemical and function tests,Abnormal Uterine Bleeding,Acquired Von Willebrand Syndrome,Acute Bacterial Meningitis,Acute Bronchitis,Anxiety Disorders Treatment,Bacterial Brain Abscess,Bleeding Peptic Ulcers,Cardiogenic Shock,Colonic Ischemia,Lactic Acidosis,Lyme Disease,Parkinson's disease,Thrombotic Thrombocytopenic Purpura (TTP),Cellulitis & Skin Abscesses"
Dr. Kazi Fouzia Afrin,"MBBS,BCS (Health),MD (Respiratory Medicine)",Respiratory Specialist,24,Islami Bank Hospital | Motijheel, Dhaka-1217,"Acute Bronchitis,Asbestosis,Chronic Bronchitis,Chronic Cough,Cystic Fibrosis,Emphysema,Goodpasture syndrome,Hypersensitivity Pneumonitis,Lung Abscess,Pleural Effusion,Pneumonia,Pulmonary Edema,Pulmonary Hypertension,Tuberculosis,Primary Ciliary Dyskinesia (Pcd)"
Asst. Prof. Dr. Md. Sirajul Haque,"MBBS,MD (Cardiology)",Cardiologist,20,Islami Bank Hospital | Motijheel, Dhaka-1217,"Cardiac Ablation,Cardiac Ablation,Cardiac Anesthesia,Cardiac Catheterization,Cardiac Disease,Cardiac Medicine,Cardiac MRI,Cardiac Pacing,Cardiac Rehabilitation,Cardiac Transplant,Cardiac Tumor Resection,Cardic TMT, ECG, ECHO,Cardiogenic Shock"
Asst. Prof. Dr. Rajib Dhar,"MBBS,MD (Cardiology)",Cardiologist,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"Cardiac Ablation,Cardiac Ablation,Cardiac Anesthesia,Cardiac Catheterization,Cardiac Disease,Cardiac Invasive Procedures,Cardiac Medicine,Cardiac MRI,Cardiac Pacing,Cardiac Rehabilitation,Cardiac Transplant,Cardic TMT, ECG, ECHO,Cardio Thoracic Surgery,Cardiac Tumor Resection"
Prof. Dr. Munira Ferdousi,"MBBS,MPH (Dhaka),MS (Obs & Gynae)",Gynecologists,25,Uttara Crescent Hospital & Diagnostic Center, Dhaka-1230,"All Gynae Surgery,Breast Examination,Gynaec Laparoscopy,Gynecologic Oncology,Gynecomastia Treatment / Surgery,Maternal Fetal Medicine,Obstetrics Problems,Women's Health,Vaginal Hysterectomy"
Assoc. Prof. Dr. Salma Anam,"MBBS,FCPS (General Surgery),MS (Plastic Surgery)","General Surgeon
Plastic Surgeon",23,BRAC Healthcare | Mirpur, Dhaka-1216,"Acne Treatment,Birthmark Reduction,Body Contouring Surgery,Burn Scar Reconstruction,Colonoscopy,Cosmetic Surgery,Dermatosurgery,Endosurgery,Fistula Surgery,Lip reconstruction,Liposuction,Minor Surgery,Reconstructive Surgery,Rhinoplasty,Robotic Surgery,Vascular Malformation Treatment,Webbed Fingers / Toes Correction,Safe Ear Piercing for Infants and children"
Assoc. Prof. Dr. M. S. Arefin Patwary,"MBBS,FCPS (Medicine),MCPS,Fellow in Rheumatology","Rheumatologist
Medicine Specialist",15,Popular Diagnostic Centre Ltd. | Shantinagar (Unit 1), Dhaka-1217,"Adolescent Medicine,Aesthetic Medicine,Arthritis,General Health,General Illness,General Medicine,Geriatric Medicine,Infectious Disease Treatment,Medical Advisor,Rheumatism Treatment,Rheumatology,Vaccination/ Immunization,Health Checkup (General)"
Prof. Dr. Syed Azizul Haque,"MBBS,FCPS (Medicine),MD (Cardiology),FRCP (UK)",Cardiologist,21,Medinova Medical Services Ltd.| Dhanmondi, Dhaka-1209,"Acute Care Imaging,Cardiac Ablation,Cardiac Ablation,Cardiac Anesthesia,Cardiac Catheterization,Cardiac Disease,Cardiac Invasive Procedures,Cardiac Medicine,Cardiac MRI,Cardiac Pacing,Cardiac Rehabilitation,Cardiac Transplant,Cardic TMT, ECG, ECHO,Cardio Thoracic Surgery,Cardiogenic Shock,Cardiography,Cardiology,Cardiomyopathy"
Dr. Wahida Rahman,"MBBS,BCS (Health),FCPS (OBGYN)",Gynecologist & Obstetrician,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"All Gynae Surgery,Cosmetic Laser Gynaecologist,Gynae Check Up,Gynae Problems,Gynae Problems,Gynaec Laparoscopy,Gynaecological Endoscopy,Gynec Advices,Gynecologic Oncology,Gynecological Cancer Treatment,Maternal Care,Maternal Care/ Checkup,OB-GYN Anesthesia,Obstetrics & Gynecology,Uro Gynecological Problems,Maternal Fetal Medicine"
Prof. Dr. Neke Akhtar,"MBBS,FCPS(Obs&Gynae)",Gynecologist & Obstetrician,20,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"Advaced Laproscopic Gynaecological Surgery,All Gynae Surgery,Diseases in Pregnancy,Doppler Scan In Pregnancy,Gynae Check Up,Gynae Problems,Gynaec Laparoscopy,Gynaecological Endoscopy,Gynec Advices,Gynecologic Oncology,Gynecological Cancer Treatment,Gynecomastia Treatment / Surgery,Laparoscopic Surgery (Obs & Gyn),OB-GYN Anesthesia,Obstetrics & Gynecology,Complicated Pregnancy Treatment"
Prof. Dr. Amiruzzaman Sumon,"MBBS,FCPS (Medicine)",Medicine Specialist,20,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"Adolescent Medicine,Aesthetic Medicine,Cardiac Medicine,Critical Care Medicine,Dengue Fever,Family Medicine,Fetal Medicine,Fetomaternal Medicine,General Medicine,Geriatric Medicine,Immediate Dentures,Kidney Medicine,Lung & Mediastinal Tumors,Maternal Fetal Medicine,Mediastinoscopy,Medical Advisor,Fever Treatment"
Prof. Dr. Md. Nurul Amin Miah,"MBBS,MD (Medicine),FACP (USA),FRCP (Glasgow)",Internal Medicine Specialist,20,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"Adolescent Medicine,Aesthetic Medicine,Cardiac Medicine,Critical Care Medicine,Family Medicine,Fetal Medicine,Fetomaternal Medicine,General Medicine,Geriatric Medicine,Kidney Medicine,Maternal Fetal Medicine,Medical Oncology,Medical Peels,Medical Vitiligo Treatment"
Prof. Dr. Alamgir Kabir,"MBBS,FCPS (Hematology)",Hematologist,35,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"Acute Hematologic Disorder,Benign Hematology Treatment,Blood Banking,Blood Calcium,Blood Cancer Specialist,Blood Clots,Blood Disease,Blood Disorder Treatment,Blood Group Test,Blood in motion,Blood in Urine,General Hematology,Brain Hemorrhage"
Dr. Sayem Hossain,"MBBS,MS (Urology)",Urologist,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"Kidney Function Test,Prostate Gland,Urinary Bladder,Andrology,Venereal Disease,Urethra,Endourology,Erectile Dysfunction,Minimal Invasive Urology,Urology Consultation,Varicoceles & Male Infertility,Male Infertility Treatment"
Prof. Dr. Md. Fazlul Kadir,"MBBS,FCPS (Medicine)",Internal Medicine Specialist,35,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"Abnormal Uterine Bleeding,Acquired Von Willebrand Syndrome,Acute Bronchitis,Anxiety Disorders Treatment,Bacterial Brain Abscess,Bleeding Peptic Ulcers,Chronic Infectious Diseases,Colonic Ischemia,Lactic Acidosis,Lyme Disease,Thrombotic Thrombocytopenic Purpura (TTP),Acute Bacterial Meningitis"
