Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration
Asst. Prof. Dr. Nazrul Islam,"MBBS,BCS (Health),MD (Child Hemato-Oncolo)",Hematologist,17,Ibn Sina Diagnostic & Consultation Center | Rajshahi, Rajshahi-6201,"Acute Hematologic Disorder,Ambulatory Blood Pressure Monitoring,Benign Hematology Treatment,Blood Banking,Blood Calcium,Blood in Urine (Hematuria) Treatment,Clinical Hematology,General Hematology,Hemato Oncology,Hematological Cancer,Hematological Oncology,Hematopathology,Brain Hemorrhage"
Asst. Prof. Dr. Md. Mahmudul Hasan Pannu,"MBBS,BCS (Health),FCPS (Surgery),MS (Colorectal Surgery, BSMMU)",Colorectal & Laparoscopic Surgeon,24,Ibn Sina Hospital & Diagnostic Center | Jessore, Jessore-7400,"Abdominoperineal resection,Bariatric Surgery,Bowel Resection Surgery,Colorectal Surgery,Ectopic pregnancy removal,Hernia repair surgery,Hipato Biliary Surgery,Kidney Biopsies,Laparoscopic Hernial Repair,Liver resection,Prostrate Removal,Testicle Correction Surgery,Tubal ligation and reversal,Esophageal anti-reflux surgery"
Dr. Md. Joynal Abeden Mukul,MBBS. BCS. FCPS. MS,General Surgeon,24,Ibn Sina Hospital & Diagnostic Center | Jessore, Jessore-7400,"Appendix Removal,Colon Resection,Colonoscopy,Cyst & Lipoma Removal,Endosurgery,Fistula Surgery,Gallbladder Removal,Laparoscopic Surgery,Liver Biopsy,Lymph Node Biopsy,Minor Surgery,Pancreas Removal,Perianal Abscess Drainage,Robotic Surgery,Skin Lesion Excision & Biopsy,Spleen Removal,Whipple Procedure,Limb Amputation"
Assoc. Prof. Dr. Nurul Islam,"MBBS,BCS (Health),MD,MACP (America)",Medicine Specialist,20,Ibn Sina Diagnostic & Consultation Center | Rajshahi, Rajshahi-6201,"Adolescent Medicine,Aesthetic Medicine,Cardiac Medicine,Critical Care Medicine,Family Medicine,Fetal Medicine,Fetomaternal Medicine,General Medicine,Geriatric Medicine,Immediate Dentures,Kidney Medicine,Lung & Mediastinal Tumors,Maternal Fetal Medicine,mediastinal tumor,Mediastinoscopy,Medical Advisor"
Asst. Prof. Dr. Md. Safiul Alam,"MBBS,FCPS (Surgery)",Colorectal & Laparoscopic Surgeon,23,Ibn Sina Hospital & Diagnostic Center | Jessore, Jessore-7400,"Abdominoperineal resection,Bariatric Surgery,Bowel Resection Surgery,Colorectal Surgery,Ectopic pregnancy removal,Hernia repair surgery,Hipato Biliary Surgery,Kidney Biopsies,Laparoscopic Hernial Repair,Liver resection,Prostrate Removal,Testicle Correction Surgery,Tubal ligation and reversal,Esophageal anti-reflux surgery"
Prof. Dr. N K Alam,"MBBS,BCS (Health),FCPS (Surgery)","General Surgeon
Colorectal & Laparoscopic Surgeon",28,Ibn Sina Hospital & Diagnostic Center | Jessore, Jessore-7400,"Appendix Removal,Colon Resection,Colonoscopy,Cyst & Lipoma Removal,Endosurgery,Fistula Surgery,Gallbladder Removal,Laparoscopic Surgery,Limb Amputation,Liver Biopsy,Lymph Node Biopsy,Minor Surgery,Pancreas Removal,Perianal Abscess Drainage,Robotic Surgery,Skin Lesion Excision & Biopsy,Spleen Removal,Whipple Procedure,Rectal Prolapse Repair"
Dr. Mahbubur Rahman,"MBBS,BCS,(Health),CCD (Diabetes,BIRDEM),PGT (Medicine,Nephrology, Neuro Medicine,Cardiology),MRCP (USA)","Diabetologist
Medicine Specialist",23,Ibn Sina Hospital & Diagnostic Center | Jessore, Jessore-7400,"Alcoholic Fatty Liver Disease,Depression and Anxiety in Diabetes,Diabetes Management,Diabetes Type 2,Gestational diabetes,High Cholesterol (Dyslipidemia),Metabolic disease,Non-Alcoholic Fatty Liver Disease (NAFLD),Obesity,Pituitary Diseases,Polycystic Ovary Syndrome (PCOS),Prediabetes,Thyroid Disorders in Diabetes,Type 1 Diabetes Treatment,Pancreatitis"
Dr. Syeda Momena Hossain Nishi,"MBBS,BCS(Health),MS(Surgery)",General Surgeon,14,Ibn Sina Diagnostic & Consultation Center | Rajshahi, Rajshahi-6201,"Abdominal surgery,Adenoid / Tonsil Surgery,Advaced Laproscopic Gynaecological Surgery,All Gynae Surgery,Anal Fissure Surgery,Anterior Segment Surgery,Anti Reflux (Gerd) Surgery,Aortic Aneurysm Surgery / Endovascular Repair,Aortic Anuerysm Surgery / Endovascular Repair,Aortic Valve Surgery,Aqueductal Stenosis Surgery,Atrial Fibrillation Surgery,Bariatric Surgery"
Dr. Md. Israfil Islam,"MBBS,BCS (Health),MS (Surgery),MCPS (Surgery)",General Surgeon,16,Ibn Sina Diagnostic & Consultation Center | Rajshahi, Rajshahi-6201,"Abdominal Cancer Surgery,Abdominal surgery,Adenoid / Tonsil Surgery,Advaced Laproscopic Gynaecological Surgery,Advance Laparoscopic Surgeries,Appendix Removal,Colonoscopy,Endosurgery,Fistula Surgery,Gallbladder Removal,Hernia Laparoscopic Surgery,Liver Biopsy,Lymph Node Biopsy,Minor Surgery,Robotic Surgery,All Gynae Surgery"
Dr. Tamanna Tasnim,"MBBS,BCS (Health),MS ( Colorectal surgery)",General Surgeon,15,Ibn Sina Diagnostic & Consultation Center | Rajshahi, Rajshahi-6201,"Appendix Removal,Colon Resection,Colonoscopy,Cyst & Lipoma Removal,Endosurgery,Fistula Surgery,Gallbladder Removal,Hernia Laparoscopic Surgery,Liver Biopsy,Lymph Node Biopsy,Minor Surgery,Perianal Abscess Drainage,Robotic Surgery,Skin Lesion Excision & Biopsy,Whipple Procedure"
