Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration
Asst. Prof. Dr. Shaila Ahmed,"MBBS,DDV",Dermatologist,40,Anwer Khan Modern Diagnostic Centre | Banani, Dhaka-1213,"Acne Problems,Alopecia Areata,Atopic Dermatitis Treatment,Dermatitis Treatment,eczema,Herpes Simplex (Cold Sores),Herpes zoster (shingles),Impetigo,Psoriasis Treatment,Rosacea,Skin Allergies,treatment for ringworm,Vitiligo,WARTS,Cellulitis"
Prof. Dr. Mohammad Mahmuduzzaman,"MBBS,MD (Gastroenterology),MACG,FACP,MRCP,FRCP",Gastroenterologist,32,Anwer Khan Modern Diagnostic Centre | Banani, Dhaka-1213,"Acidity Treatment,Celiac Disease,Constipation,Diarrhea,Diverticulitis,Gastritis Treatment,Gastroesophageal Reflux Disease (GERD),Gastrointestinal Bleeding,Gastroscopy,Inflammatory bowel disease (IBD),Irritable bowel syndrome (IBS),Lactose Intolerance,Peptic Ulcers,Malabsorption Syndromes"
Asst. Prof. Dr. Nusrat Sultana,"MBBS (DMC),FCPS (Medicine),MD (Endcrinology)",Endocrinologist,28,Anwer Khan Modern Diagnostic Centre | Banani, Dhaka-1213,"Adrenal Disorders,Adrenal Gland Disorders,Goiter Treatment,Growth Hormone Disorders,Hyperlipidemia,Hyperthyroidism,Hypopituitarism,Hypothyroidism,Obesity,Osteoporosis Treatment,Parathyroid diseases,Pituitary Stalk Lesions,Thyroid Disorder Treatment,Thyroid Disorders in Pregnancy,Thyroid Swelling,Thyroid Storm"
Prof. Dr. M. A. Sabur,"MBBS,FCPS (Medicine)","Medicine Specialist
Nephrologist",31,Anwer Khan Modern Diagnostic Centre | Banani, Dhaka-1213,"Aesthetic Medicine,Alzheimer's Disease,Arthritis Problem,General Medicine,Geriatric Medicine,Heart Diseases,Infectious Diseases,Influenza (Common Cold),Neonatal Medicine,Parkinson's disease,Pediatric Medicine,Trauma and wound care,Trouble Sleeping,Vaccination / Immunization,Adolescent Medicine"
Prof. Dr. Nurul Alam Talukder,"MBBS,MCPS ( Med. ),D.Card",Cardiologist,17,Al-Manar Hospital Ltd., Dhaka-1207,"Abnormal Heartbeat,Anticoagulation Therapy,Antiplatelet Therapy,Cardiac Medicine,Cardiac Rehabilitation,Cardiogenic Shock,Cardiomyopathy,Coronary Artery Disease (CAD),Healthy Heart Diet,Heart Abnormalities,Heart Attack,Heart Infection (Endocarditis),High Cholesterol,Hypertension (High Blood Pressure),General Cardiac Check-up"
Dr. Md. Fayez Ahmed,"MBBS (Dhaka),BCS (Health),D-Ortho (BSMMU),MS-Ortho (BSMMU)",Orthopedic Surgeon,26,Al-Manar Hospital Ltd., Dhaka-1207,"Arthritis,Arthroscopy,Fracture Fixation,Joint Resurfacing,Meniscus Tear,Osteoporosis Treatment,Rotator Cuff Repair,Shoulder Bursitis,Shoulder Fractures,Spinal Decompression,Spinal Disc Replacement,Spinal Fusion,Tendon Repair,Total Joint Replacement,Ligament Reconstruction"
Dr. Afsana Negar,"MBBS,DMUD (USTC),C.ULTRA (BSU). JUREI (USA)",Sonologist,15,Al-Manar Hospital Ltd., Dhaka-1207,"3D & 4D Ultrasonography,Abdominal Ultrasound,Breast ultrasound,Cranial Ultrasound,Digital Ultrasound,Interventional Diagnostic,Intravascular Ultrasound (IVUS),Pelvic Ultrasound,Pregnancy Ultrasound,Upper Abdomen Ultrasound,Vascular Imaging,Whole Abdomen Ultrasound"
Dr. Sajedur Reza Faruquee,"MBBS,MS (ORTHO)",Orthopedist,19,Al-Manar Hospital Ltd., Dhaka-1207,"Achilles Tendonitis,Arthroscopy,Baker's Cyst,Cubital Tunnel Syndrome,Herniated Disc,Joint Mobilization,Knee Osteotomy,Knee Replacement,Ligament Sprains,Rheumatoid Arthritis,Spinal Disorders,Stress Fractures,Tennis Elbow,Trigger Finger"
Asst. Prof. Dr. Md. Asaduzzaman,"MBBS,DTM (Dublin),DPP (Psychiatry)",Psychiatrist,19,Al-Manar Hospital Ltd., Dhaka-1207,"Alzheimer's Disease,Autism,Autism Spectrum Disorder (ASD),Bipolar Disorder Treatment,Brain Structure & Function,Depression and Anxiety,Eating Disorders,Generalized Anxiety Disorder (GAD),Genetic Predisposition,Major Depressive Disorder,Panic Disorder,Post-Traumatic Stress Disorder (PTSD),Schizophrenia Treatment,Social Anxiety Disorder,Substance Abuse,Obsessive Compulsive Disorder (OCD) Counselling"
Dr. Md. Abdur Rashid,"MBBS,MD",Family Medicine Specialist,15,Al-Manar Hospital Ltd., Dhaka-1207,"Aesthetic Medicine,Alzheimer's Disease,Arthritis Problem,General Medicine,Geriatric Medicine,Heart Diseases,Infectious Diseases,Influenza (Common Cold),Neonatal Medicine,Parkinson's disease,Pediatric Medicine,Trauma and wound care,Trouble Sleeping,Vaccination / Immunization,Adolescent Medicine"
