Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration
Dr. Shaiful Hassan Shameem,"MBBS,BCS,MD (Radiation Oncology)","Oncologist
Radiologist",15,Enam Medical College & Hospital, Dhaka-1340,"Blood Disorder Treatment,Blood Transfusion,Breast Oncology,Gastrointestinal Oncology,General Radiology,Hematological Oncology,Laparoscopic Oncology,Medical Oncology,Neuro-oncology,Radiotherapy,Urologic Oncology,Head and Neck Oncosurgery"
Dr. Afroza Begum Tania,"MBBS (DU),MD (Clinical and Radiation Oncology)",Oncologist,20,Enam Medical College & Hospital, Dhaka-1340,"Breast Oncology,Gastro Intenstinal Onco Surgery,Gastrointestinal Oncology,Haemato Oncology,Hematological Oncology,Medical Oncology,Neuro-oncology,Paeditric Oncology,Surgical Oncology,Urologic Oncology,Gynecologic Oncology"
Dr. S. M. Monowar Hossain,"MBBS,MD (Neurology)",Neuromedicine Specialist,21,Dhaka Central International Medical College Hospital, Dhaka-1207,"Brain Aneursym Surgery,Brain Aneurysm Coiling,Brain Aneurysm Treatment,Brain Arteriovenous Fistula Embolization,Brain Hemorrhage,Brain infection,Clinical Neurologist,Intervention Neurology,Micro Neuro Surgeries,Brain Mapping"
Dr. Bilkis Mahmuda,"MBBS,FCPS (Gynae & Obs)",Gynecologist & Obstetrician,18,Alliance Hospital Ltd., Dhaka-1207,"Advaced Laproscopic Gynaecological Surgery,Advice To Pregnant Women,All Gynae Surgery,Fetomaternal Medicine,Gynae Check Up,Gynae Problems,Gynec Advices,Gynecological Cancer Treatment,Laparoscopic Gynaecology,Maternal Care,OB-GYN Anesthesia,Obstetrics & Gynecology,Well Woman / Gynecological Cancer Screening,Maternity Care"
Dr. Sifat Ara Khanom,"MBBS (DEU),MCPS (Obs and Gynae),FCPS (Obs and Gynae)",Gynecologist & Obstetrician,14,Dhaka Central International Medical College Hospital, Dhaka-1207,"Advaced Laproscopic Gynaecological Surgery,Advice To Pregnant Women,All Gynae Surgery,Complicated Pregnancy Treatment,Cosmetic Laser Gynaecologist,Fetomaternal Medicine,Gynae Check Up,Gynae Problems,Gynaec Laparoscopy,Gynec Advices,Gynecological Cancer Treatment,Maternal Care/ Checkup,Maternal Fetal Medicine"
Dr. Ismat Jahan Lima,"MBBS,BCS (Health),FCPS (Gold Medalist) Surgery,MS (Colorectal Surgery),FACS (USA)",Colorectal & Laparoscopic Surgeon,17,Alliance Hospital Ltd., Dhaka-1207,"Colorectal & Hepatobiliary Surgery,Colorectal Cancer,Fistula,Fistula Surgery,Laparoscopic Colorectal Surgery,Laser Piles Treatment,Peptic Ulcer, Jaundice, Hernia & Piles Surgeries,Piles Surgery,Piles Treatment,Fistula Treatment"
Dr. Sumya Pervin,"MBBS (SSMC),BCS (Health),DDV (BSMMU)",Dermatologist,15,Dhaka Central International Medical College Hospital, Dhaka-1207,"Acne,Acne / Pimples Treatment,Allergy Skin Prick Test,Bacterial Skin Infection Treatment,Chronic Skin Allergy,Dimple Creation,Dull Skin Treatment,Ear & Nose Piercing,Growth & Sexual Maturation in Children,Hair Care,Hair Loss Treatment,Nail Diseases Treatment,Nose Fillers,Smile Design,Allergic conjunctivitis"
Dr. Farjana Rabee Choudhury,"MBBS,DGO,FCPS,BCS (Health)",Gynecologist & Obstetrician,17,Dhaka Central International Medical College Hospital, Dhaka-1207,"Advaced Laproscopic Gynaecological Surgery,All Gynae Surgery,Gynae Check Up,Gynae Problems,Gynec Advices,Gynecological Cancer Treatment,Maternal Care,Maternal Care/ Checkup,Obstetrics & Gynecology,Maternity Care"
Dr. Somayra Nasreen,"MBBS,FCPS (Pediatrics)","Pediatrician
Pediatric Cardiologist",16,Popular Diagnostic Centre Ltd. | Narayangonj, Narayanganj-1400,"Abdominoperineal Resection (Pediatric),Bone Marrow Transplant(Pediatrics),Exchange Transfusion (Pediatric),General Pediatrics,Health Checkup (Pediatric),Paediatric Orthopedic Surgeon,Pediatric Allergy,Neonatal Transfusions,Pediatric Dermatology,Pediatric Anesthesia"
Dr. Md. Kamrul Hasan,"MBBS,FCPS (Medicine),MD (Chest)","Chest Specialist
Respiratory Specialist",17,Popular Diagnostic Centre Ltd. | Narayangonj, Narayanganj-1400,"Chest Disease,Chest Disease Treatment,Chest Pain,Chest Pain Treatment,Diseases of the Chest,Respiratory Conditions,Respiratory Failure,Respiratory problems,Respiratory Tract Infection,Paediatrics - Chest"
