Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration
Dr. Shorfuddin Mahmud,"MBBS,BCS (Health),FCPS (ENT),MCPS (ENT)",Otolaryngologists (ENT),16,Popular Diagnostic Centre Ltd. | Mirpur (Unit 1), Dhaka-1216,"Adenoid / Tonsil Surgery,Congenital Ear Problem Treatment,CRT for Heart Failure,Diagnostic Endoscopy of Ear-Nose-Throat,Diagnostic Nasal Endoscopy,Ear Infections,Ear, Nose & Throat Evaluation,Nasal Disorders,Nasal Endoscopy,Nasal Polypectomy,Nasal Polyps,Nasal Septum Surgery,Tonsillitis Treatment,Ear Pain"
Dr. Md. Shahadat Hossain,"MBBS,DLO (ENT)",Otolaryngologists (ENT),15,Popular Diagnostic Centre Ltd. | Mirpur (Unit 1), Dhaka-1216,"Adenoid / Tonsil Surgery,Congenital Ear Problem Treatment,Diagnostic Endoscopy of Ear-Nose-Throat,Diagnostic Nasal Endoscopy,Ear Infections,Ear, Nose & Throat Evaluation,Fracture Nasal Bone Correction,Nasal Disorders,Nasal Endoscopy,Nasal Polypectomy,Nasal Polyps,Nose Fillers,Nose Infections,Tonsillitis Treatment"
Prof. Dr. Brig. Gen. Md. Abdul Mannan,"MBBS,FCPS (ENT)",Otolaryngologists (ENT),30,Popular Diagnostic Centre Ltd. | Mirpur (Unit 1), Dhaka-1216,"Adenoid / Tonsil Surgery,Congenital Ear Problem Treatment,Diagnostic Endoscopy of Ear-Nose-Throat,Diagnostic Nasal Endoscopy,Diagnostic nasal, otological & laryngeal endoscopy,Ear & Nose Piercing,Ear, Nose & Throat Evaluation,Fracture Nasal Bone Correction,Nasal Disorders,Nasal Endoscopy,Nasal Polypectomy,Nasal Polyps,Nose Fillers,Nose Infections,Tonsillitis Treatment,Ear Infections"
Prof. Dr. Md. Mosleh Uddin,"MBBS,MCPS,MS (ENT),Higher Training (India, Philippines & USA)",Otolaryngologists (ENT),28,Popular Diagnostic Centre Ltd. | Mirpur (Unit 1), Dhaka-1216,"Congenital Ear Problem Treatment,Diagnostic Endoscopy of Ear-Nose-Throat,Diagnostic Nasal Endoscopy,Ear Infections,Ear Micro Surgery,Ear, Nose & Throat Evaluation,Fracture Nasal Bone Correction,Nasal and Sinus Allergy Care,Nasal Disorders,Nasal Endoscopy,Nasal Polypectomy,Nasal Polyps,Nose Fillers,Nose Infections,Nose Reshaping,Ear Wash"
Dr. Faysal Ahmed,"MBBS,MPH (Community Medicine),CCD (BIRDEM)","Endocrinologist
Diabetologist",15,Popular Diagnostic Centre Ltd. | Mirpur (Unit 1), Dhaka-1216,"Diabetes,Diabetes in Children,Diabetes Management,Diabetic Diet Counseling,Growth Hormone Disorders,Hormonal therapy,Hormone Dirtubances,Hormone testing,Hormone Therapy For Breast Cancer,Hyper / Hypo - Thyroidism Treatment,Hypothyroidism,Parathyroid diseases,Parathyroid disorders,Parathyroid Hormone,Diabetes Induced Erectile Dysfunction"
Prof. Dr. Ruhul Amin,"MBBS,MD (Endocrine Medicine),MACE (USA)","Endocrinologist
Diabetologist",28,Popular Diagnostic Centre Ltd. | Mirpur (Unit 1), Dhaka-1216,"Diabetes,Diabetes in Children,Growth Hormone Disorders,Hormone testing,Hormone Therapy For Breast Cancer,Hyper / Hypo - Thyroidism Treatment,Hyperthyroidism,Mirena (Hormonal Iud),Parathyroid diseases,Parathyroid Gland,Thyroid Disorders in Pregnancy,Thyroid Storm,Thyroid Surgery,Thyroid Swelling,Diabetes Induced Erectile Dysfunction"
Prof. Dr. Naseem Akhter Chowdhury,"MBBS,FCPS (Medicine),FACP (USA)","Diabetologist
Medicine Specialist",26,Popular Diagnostic Centre Ltd. | Mirpur (Unit 1), Dhaka-1216,"Diabetes,Diabetes in Cancers(immunocompromised),Diabetes in Children,Diabetes Induced Erectile Dysfunction,Diabetes Management,Diabetes Management,Growth Hormone Disorders,Hormonal therapy,Hyper / Hypo - Thyroidism Treatment,Hyperthyroidism,Thyroid,Thyroid Disorder Treatment,Thyroid Specialist,Hormone testing"
Dr. Benzir Ahmed,"MBBS,MBA (Health Care Management),CCD (BIRDEM),MRSH (UK)",Diabetologist,14,Popular Diagnostic Centre Ltd. | Mirpur (Unit 1), Dhaka-1216,"Depression and Anxiety in Diabetes,Growth Hormone Disorders,Hormonal disturbances in women,Hormonal therapy,Hormone Dirtubances,Hormone testing,Hormone Therapy For Breast Cancer,Hyperthyroidism,Parathyroid diseases,Thyroid,Thyroid Disease in Children,Thyroid Diseases,Thyroid Storm,Diabetes in Cancers(immunocompromised)"
Asst. Prof. Dr. Kazi Nasid Naznin,"MBBS,FCPS (Surgery),MS (Colorectal Surgery)","General Surgeon
Colorectal Surgeon",15,Popular Diagnostic Centre Ltd. | Mirpur (Unit 1), Dhaka-1216,"Abdominal Cancer Surgery,Abdominal surgery,Advaced Laproscopic Gynaecological Surgery,All Gynae Surgery,Anal Fissure Surgery,Aqueductal Stenosis Surgery,Arthoscopic Surgery,Colorectal & Hepatobiliary Surgery,Colorectal Cancer,Colorectal Polyps,Colorectal Surgery,Laparoscopic Colorectal Surgery,Anterior Segment Surgery"
Asst. Prof. Dr. Khalilur Rahman,"MBBS (Dhaka),DCH,PGPN (Boston University, USA)",Pediatrician,15,Popular Diagnostic Centre Ltd. | Mirpur (Unit 1), Dhaka-1216,"Acidity in Children,Adopted Child Syndrome Treatment,Arthritis in Children,Asthma In Children,Behavioural Disorders in Children,Blood disorders in children,Child and Adolescent Problems,Child Birth Education,Child Development Disease Treatment,Child Nutrition,Child Pathologist,Child Trauma & Injuries,Child Vaccination,Children's Health"
Asst. Prof. Dr. Md. Ibrahim Khalil,"MBBS,FCPS (Pediatric)",Pediatrician,23,Popular Diagnostic Centre Ltd. | Mirpur (Unit 1), Dhaka-1216,"Abdominoperineal Resection (Pediatric),Acidity in Children,Adopted Child Syndrome Treatment,Arthritis in Children,Asthma In Children,Auto-immune Diseases in Children,Behaviour problem in children,Behavioural Disorders in Children,Blood disorders in children,Child and Adolescent Problems,Child Birth Education,Child Nutrition,Child Pathologist"
