Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration
Dr. Raghib Manzoor,"MBBS (CMC),DA",Anesthesiologist,22,Praava Health, Dhaka-1213,"Asthma,Cardiac Anesthesia,Epilepsy,General Anesthesia,Geriatric Anesthesia,Hypertension (High Blood Pressure),Maxillary Nerve Block,Neuro Anesthesia,OB-GYN Anesthesia,Obstructive Sleep Apnea (OSA),Pain Management,Pediatric Anesthesia,Regional Anesthesia,Spinal Anesthesia,STROKE,Trauma Anesthesia,Proxymetacaine Anesthesia"
Dr. Faisal Ahmed,"MBBS,MPH (Community Medicine),CCD (Bardem)","Diabetologist
Medicine Specialist",17,Global Specialized Hospital, Dhaka-1219,"Arthritis Problem,Depression and Anxiety in Diabetes,Diabetes Management,Diabetes Type 2,Gestational diabetes,Heart Diseases,High Cholesterol (Dyslipidemia),Metabolic disease,Non-Alcoholic Fatty Liver Disease (NAFLD),Obesity,Pituitary Diseases,Polycystic Ovary Syndrome (PCOS),Prediabetes,Thyroid Disorders in Diabetes,Trouble Sleeping,Type 1 Diabetes Treatment,Alzheimer's Disease"
Asst. Prof. Dr. A M Fasiul Alam,"MBBS,BCS (Health),MS (Ortho)","Orthopedist
Orthopedic Surgeon",17,Global Specialized Hospital, Dhaka-1219,"Achilles Tendonitis,Arthritis,Arthroscopy,Arthroscopy,Herniated Disc,Joint Mobilization,Knee Osteotomy,Knee Replacement,Ligament Sprains,Meniscus Tear,Osteoporosis Treatment,Rheumatoid Arthritis,Shoulder Bursitis,Spinal Decompression,Spinal Disorders,Stress Fractures,Tennis Elbow,Total Joint Replacement,Rotator Cuff Repair"
Assoc. Prof. Dr. Tofail Hossain Biplab,"MBBS,MS (Orthosurgery)","Orthopedist
Orthopedic Surgeon",24,Global Specialized Hospital, Dhaka-1219,"Achilles Tendonitis,Arthroscopy,Herniated Disc,Joint Mobilization,Knee Osteotomy,Knee Replacement,Ligament Sprains,Spinal Disorders,Tennis Elbow,Arthroscopy,Joint Mobilization,Knee Osteotomy,Knee Replacement Reconstruction & Rehabilitation,Ligament Sprains,Herniated Disc,Achilles Tendonitis,Tennis Elbow"
Dr. Morttika Islam,"MBBS (RU),CCD (Bardem)","Diabetes Specialist
Medicine Specialist
Endocrinologist",12,Global Specialized Hospital, Dhaka-1219,"Adrenal Disorders,Alzheimer's Disease,Arthritis Problem,Diabetes Management,Diabetes Type 2,General Medicine,Gestational diabetes,Heart Diseases,Metabolic disease,Osteoporosis Treatment,Parathyroid diseases,Parkinson's disease,Pituitary Diseases,Polycystic Ovary Syndrome (PCOS),Thyroid Swelling,Trauma and wound care,Trouble Sleeping,Type 1 Diabetes Treatment,Vaccination / Immunization,Thyroid Disorder Treatment"
Assoc. Prof. Dr. Syed Shawkat Ahmed,"MBBS,DTMH (Bangkok),MSc (Dermatology-London)",Dermatologist,21,Global Specialized Hospital, Dhaka-1219,"Acne Problems,Alopecia Areata,Atopic Dermatitis Treatment,eczema,Herpes Simplex (Cold Sores),Herpes zoster (shingles),Impetigo,Psoriasis Treatment,Rosacea,Skin Allergies,treatment for ringworm,Vitiligo,WARTS,Cellulitis"
Dr. Ayesha Parveen Tripti,"MBBS,BCS (Health),MPH,DGO,FCPS (Gynecology & Obs)","Gynecologists
Infertility Specialist",16,Global Specialized Hospital, Dhaka-1219,"Embolization,Gynae Problems,Gynae Problems,Hormone Dirtubances,Hysteroscopy,In-Vitro Fertilization (IVF),Intra-Uterine Insemination (IUI),Obstetrics Problems,Ovarian Cystectomy,Ovarian Cysts,Polycystic Ovary Syndrome (PCOS),Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Infertility Evaluation"
Prof. Dr. Kohinoor Khan,"MBBS (DMC),FRSH (London),DGO (DU),MCPS,FCPS (Gyne)","Gynecologist & Obstetrician
Infertility Specialist",28,Global Specialized Hospital, Dhaka-1219,"Embolization,Female Infertility Disorders,Female Sexual Dysfunction,Gynae Problems,Gynae Problems,Hormone Dirtubances,Hysteroscopy,In-Vitro Fertilization (IVF),Infertility Evaluation,Intra-Uterine Insemination (IUI),Obstetrics Problems,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Premenstrual Syndrome (PMS),Sexually Transmitted Infections (STIs),Uterine Fibroids,Vaginal Infection Treatment,Male Infertility Disorders"
Assoc. Prof. Dr. Israt Jahan Ila,"MBBS,FCPS (Gynaecology)","Gynecologist & Obstetrician
Infertility Specialist",23,Global Specialized Hospital, Dhaka-1219,"Embolization,Gynae Problems,Gynae Problems,Hormone Dirtubances,Hysteroscopy,In-Vitro Fertilization (IVF),Infertility Evaluation,Intra-Uterine Insemination (IUI),Obstetrics Problems,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Sexually Transmitted Infections (STIs)"
Dr. Khondkar Abul Basar,"MBBS,BCS (Health),FCPS (Medicine),FCPS (Gastroenterology)","Gastroenterologist
Hepatologist
Medicine Specialist",18,Global Specialized Hospital, Dhaka-1219,"Acidity Treatment,Celiac Disease,Gastritis Treatment,Gastroesophageal Reflux Disease (GERD),Gastrointestinal Bleeding,Gastroscopy,Gastroscopy General Surgeon,Hepatitis B Treatment,Hepatitis C Treatment,Inflammatory bowel disease (IBD),Intra-Uterine Insemination (IUI),Irritable bowel syndrome (IBS),Jaundice Treatment,Lactose Intolerance,Liver Disease Treatment,Peptic Ulcers,Portal biliopathy"
